Time,Open,High,Low,Close,Volume,Date,Day,Month,Quarter,Year,Tomorrow,Target,Moving Average,MACD,Signal Line,RSI,Day_enc,Month_enc,Close_Ratio_2,Trend_2,Close_Ratio_5,Trend_5,Close_Ratio_60,Trend_60,Close_Ratio_250,Trend_250,Close_Ratio_1000,Trend_1000
2012-02-27 00:00,1.34669,1.34676,1.33658,1.34073,255056,2012-02-27,Monday,February,1,2012,1.34781,1,1.323397,0.008747941429251949,0.006535843326857789,50.26143230617582,1,3,0.9985551177876917,2.0,1.0045856092791152,5.0,1.025975309649694,30.0,0.9681274475775086,128.0,0.9701431328887261,512.0
2012-02-28 00:00,1.34073,1.34795,1.33901,1.34781,259541,2012-02-28,Tuesday,February,1,2012,1.33238,0,1.3251675,0.009482817012094857,0.007125238063905203,51.81540761038799,3,3,1.002633399540271,2.0,1.0064231993835162,5.0,1.0313025575521935,30.0,0.9733824977159117,129.0,0.9754141868258489,513.0
2012-02-29 00:00,1.34785,1.34853,1.33147,1.33238,271143,2012-02-29,Wednesday,February,1,2012,1.33263,1,1.326197,0.008719624753500632,0.007444115401824289,45.71679762624309,4,3,0.9942429454628218,1.0,0.9938802790425665,4.0,1.0195937786806506,30.0,0.9623945127838592,129.0,0.9644079972916838,512.0
2012-03-01 00:00,1.33241,1.33556,1.3282,1.33263,244492,2012-03-01,Thursday,March,1,2012,1.32003,0,1.326591,0.008042256177638762,0.007563743556987185,39.81114108871608,2,7,1.000093808278393,1.0,0.9947731914436204,4.0,1.01981006216472,31.0,0.9627708936881825,129.0,0.9647390948423021,513.0
2012-03-02 00:00,1.33263,1.33326,1.31864,1.32003,215668,2012-03-02,Friday,March,1,2012,1.31851,0,1.326357,0.006414776453785631,0.007333950136346874,36.03648901019972,0,7,0.9952500508923119,1.0,0.9889969102041185,3.0,1.010405537202682,30.0,0.9539376523989167,128.0,0.9557712081987667,513.0
2012-03-05 00:00,1.31851,1.32386,1.31597,1.3223,231221,2012-03-05,Monday,March,1,2012,1.31194,0,1.32604,0.004040031794868559,0.0062929870982717205,40.3330893771979,1,7,1.0008590902726002,0.0,0.9934411696205195,2.0,1.0120665250877383,30.0,0.9558523856840884,128.0,0.9575727351009615,512.0
2012-03-06 00:00,1.32228,1.32256,1.31032,1.31194,250779,2012-03-06,Tuesday,March,1,2012,1.31406,1,1.325453,0.002458274304049324,0.0055260445394272415,36.952482081231835,3,7,0.9960671768707483,0.0,0.9909990210415636,1.0,1.004007796721979,30.0,0.9486509913046375,128.0,0.9502352443174875,511.0
2012-03-07 00:00,1.31194,1.31638,1.30959,1.31406,217851,2012-03-07,Wednesday,March,1,2012,1.32712,1,1.3253865,0.0013601079017946383,0.004692857211900721,32.19137625516832,4,7,1.0008073115003806,1.0,0.9953552210587551,2.0,1.005430146071465,31.0,0.9504487301890395,129.0,0.9519225091641721,512.0
2012-03-08 00:00,1.31406,1.3291,1.3135,1.32712,220165,2012-03-08,Thursday,March,1,2012,1.31227,0,1.3261025,0.0015260446760758661,0.00405949470473575,36.84403557565939,2,7,1.0049447595392969,2.0,1.0060875300396486,2.0,1.015108993878536,31.0,0.9601443440341475,129.0,0.9615318502462398,512.0
2012-03-09 00:00,1.32712,1.32718,1.30974,1.31227,203984,2012-03-09,Friday,March,1,2012,1.3122,0,1.3264420000000001,0.0004540459131785468,0.0033384049464243097,36.97692507129901,0,7,0.9943736999837084,1.0,0.9960016333494746,2.0,1.0036499746462264,30.0,0.9496656576518808,129.0,0.9509351396030858,511.0
